age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager
40,yes,travel_rarely,575,sales,22,2,marketing,3,male,68,2,2,sales executive,3,married,6380,6110,2,yes,12,3,1,2,8,6,3,6,4,1,0
31,no,travel_rarely,408,research & development,9,4,life sciences,3,male,42,2,1,research scientist,2,single,2657,7551,0,yes,16,3,4,0,3,5,3,2,2,2,2
21,yes,travel_rarely,156,sales,12,3,life sciences,3,female,90,4,1,sales representative,2,single,2716,25422,1,no,15,3,4,0,1,0,3,1,0,0,0
29,no,travel_rarely,1283,research & development,23,3,life sciences,4,male,54,3,1,research scientist,4,single,2201,18168,9,no,16,3,4,0,6,4,3,3,2,1,2
35,no,travel_rarely,755,research & development,9,4,life sciences,3,male,97,2,2,healthcare representative,2,single,6540,19394,9,no,19,3,3,0,10,5,3,1,1,0,0
27,no,travel_rarely,1469,research & development,1,2,medical,4,male,82,3,1,laboratory technician,2,divorced,3816,17881,1,no,11,3,2,1,5,2,3,5,2,0,4
28,no,travel_rarely,304,sales,9,4,life sciences,2,male,92,3,2,sales executive,4,single,5253,20750,1,no,16,3,4,0,7,1,3,7,5,0,7
49,no,travel_rarely,1261,research & development,7,3,other,2,male,31,2,3,healthcare representative,3,single,10965,12066,8,no,24,4,3,0,26,2,3,5,2,0,0
51,no,travel_rarely,1178,sales,14,2,life sciences,3,female,87,3,2,sales executive,4,married,4936,14862,4,no,11,3,3,1,18,2,2,7,7,0,7
36,no,travel_rarely,329,research & development,2,3,life sciences,4,female,96,3,1,research scientist,3,married,2543,11868,4,no,13,3,2,1,6,3,3,2,2,2,2
34,yes,non-travel,1362,sales,19,3,marketing,1,male,67,4,2,sales executive,4,single,5304,4652,8,yes,13,3,2,0,9,3,2,5,2,0,4
55,no,travel_rarely,1311,research & development,2,3,life sciences,3,female,97,3,4,manager,4,single,16659,23258,2,yes,13,3,3,0,30,2,3,5,4,1,2
24,no,travel_rarely,1371,sales,10,4,marketing,4,female,77,3,2,sales executive,3,divorced,4260,5915,1,yes,12,3,4,1,5,2,4,5,2,0,3
30,no,travel_rarely,202,sales,2,1,technical degree,3,male,72,3,1,sales representative,2,married,2476,17434,1,no,18,3,1,1,1,3,3,1,0,0,0
26,yes,travel_frequently,575,research & development,3,1,technical degree,3,male,73,3,1,research scientist,1,single,3102,6582,0,no,22,4,3,0,7,2,3,6,4,0,4
22,no,travel_rarely,253,research & development,11,3,medical,1,female,43,3,1,research scientist,2,married,2244,24440,1,no,13,3,4,1,2,1,3,2,1,1,2
36,no,travel_rarely,164,sales,2,2,medical,2,male,61,2,3,sales executive,3,married,7596,3809,1,no,13,3,2,2,10,2,3,10,9,9,0
30,yes,travel_frequently,464,research & development,4,3,technical degree,3,male,40,3,1,research scientist,4,single,2285,3427,9,yes,23,4,3,0,3,4,3,1,0,0,0
37,no,travel_rarely,1107,research & development,14,3,life sciences,4,female,95,3,1,laboratory technician,1,divorced,3034,26914,1,no,12,3,3,1,18,2,2,18,7,12,17
40,no,travel_rarely,759,sales,2,2,marketing,4,female,46,3,2,sales executive,2,divorced,5715,22553,7,no,12,3,3,2,8,5,3,5,4,1,3
42,no,travel_rarely,201,research & development,1,4,life sciences,2,female,95,3,1,laboratory technician,1,divorced,2576,20490,3,no,16,3,2,1,8,5,3,5,2,1,2
37,no,travel_rarely,1305,research & development,10,4,life sciences,3,male,49,3,2,manufacturing director,2,single,4197,21123,2,yes,12,3,4,0,18,2,2,1,0,0,1
43,no,travel_rarely,982,research & development,12,3,life sciences,1,male,59,2,4,research director,2,divorced,14336,4345,1,no,11,3,3,1,25,3,3,25,10,3,9
40,no,travel_rarely,555,research & development,2,3,medical,2,female,78,2,2,laboratory technician,3,married,3448,13436,6,no,22,4,2,1,20,3,3,1,0,0,0
54,no,travel_rarely,821,research & development,5,2,medical,1,male,86,3,5,research director,1,married,19406,8509,4,no,11,3,3,1,24,4,2,4,2,1,2
34,no,non-travel,1381,sales,4,4,marketing,3,female,72,3,2,sales executive,3,married,6538,12740,9,no,15,3,1,1,6,3,3,3,2,1,2
31,no,travel_rarely,480,research & development,7,2,medical,2,female,31,3,2,manufacturing director,1,married,4306,4156,1,no,12,3,2,1,13,5,1,13,10,3,12
43,no,travel_frequently,313,research & development,21,3,medical,4,male,61,3,1,laboratory technician,4,married,2258,15238,7,no,20,4,1,1,8,1,3,3,2,1,2
43,no,travel_rarely,1473,research & development,8,4,other,3,female,74,3,2,healthcare representative,3,divorced,4522,2227,4,yes,14,3,4,0,8,3,3,5,2,0,2
25,no,travel_rarely,891,sales,4,2,life sciences,2,female,99,2,2,sales executive,4,single,4487,12090,1,yes,11,3,2,0,5,3,3,5,4,1,3
37,no,non-travel,1063,research & development,25,5,medical,2,female,72,3,2,research scientist,3,married,4449,23866,3,yes,15,3,1,2,15,2,3,13,11,10,7
31,no,travel_rarely,329,research & development,1,2,life sciences,4,male,98,2,1,laboratory technician,1,married,2218,16193,1,no,12,3,3,1,4,3,3,4,2,3,2
39,no,travel_frequently,1218,research & development,1,1,life sciences,2,male,52,3,5,manager,3,divorced,19197,8213,1,yes,14,3,3,1,21,3,3,21,8,1,6
56,no,travel_frequently,906,sales,6,3,life sciences,3,female,86,4,4,sales executive,1,married,13212,18256,9,no,11,3,4,3,36,0,2,7,7,7,7
30,no,travel_rarely,1082,sales,12,3,technical degree,2,female,83,3,2,sales executive,3,single,6577,19558,0,no,11,3,2,0,6,6,3,5,4,4,4
41,no,travel_rarely,645,sales,1,3,marketing,2,male,49,4,3,sales executive,1,married,8392,19566,1,no,16,3,3,1,10,2,3,10,7,0,7
28,no,travel_rarely,1300,research & development,17,2,medical,3,male,79,3,2,laboratory technician,1,divorced,4558,13535,1,no,12,3,4,1,10,2,3,10,0,1,8
25,yes,travel_rarely,688,research & development,3,3,medical,1,male,91,3,1,laboratory technician,1,married,4031,9396,5,no,13,3,3,1,6,5,3,2,2,0,2
52,no,travel_rarely,319,research & development,3,3,medical,4,male,39,2,3,manufacturing director,3,married,7969,19609,2,yes,14,3,3,0,28,4,3,5,4,0,4
45,no,travel_rarely,192,research & development,10,2,life sciences,1,male,69,3,1,research scientist,4,married,2654,9655,3,no,21,4,4,2,8,3,2,2,2,0,2
52,no,travel_rarely,1490,research & development,4,2,life sciences,4,female,30,3,4,manager,4,married,16555,10310,2,no,13,3,4,0,31,2,1,5,2,1,4
42,no,travel_frequently,532,research & development,29,2,life sciences,1,female,92,3,2,research scientist,3,divorced,4556,12932,2,no,11,3,2,1,19,3,3,5,4,0,2
30,no,travel_rarely,317,research & development,2,3,life sciences,3,female,43,1,2,manufacturing director,4,single,6091,24793,2,no,20,4,3,0,11,2,3,5,4,0,2
60,no,travel_rarely,422,research & development,7,3,life sciences,1,female,41,3,5,manager,1,married,19566,3854,5,no,11,3,4,0,33,5,1,29,8,11,10
46,no,travel_rarely,1485,research & development,18,3,medical,3,female,87,3,2,manufacturing director,3,divorced,4810,26314,2,no,14,3,3,1,19,5,2,10,7,0,8
42,no,travel_frequently,1368,research & development,28,4,technical degree,4,female,88,2,2,healthcare representative,4,married,4523,4386,0,no,11,3,4,3,7,4,4,6,5,0,4
24,yes,travel_rarely,1448,sales,1,1,technical degree,1,female,62,3,1,sales representative,2,single,3202,21972,1,yes,16,3,2,0,6,4,3,5,3,1,4
34,yes,travel_frequently,296,sales,6,2,marketing,4,female,33,1,1,sales representative,3,divorced,2351,12253,0,no,16,3,4,1,3,3,2,2,2,1,0
38,no,travel_frequently,1490,research & development,2,2,life sciences,4,male,42,3,1,laboratory technician,4,married,1702,12106,1,yes,23,4,3,1,1,3,3,1,0,0,0
40,no,travel_rarely,1398,sales,2,4,life sciences,3,female,79,3,5,manager,3,married,18041,13022,0,no,14,3,4,0,21,2,3,20,15,1,12
26,no,travel_rarely,1349,research & development,23,3,life sciences,1,female,90,3,1,research scientist,4,divorced,2886,3032,1,no,22,4,2,2,3,3,1,3,2,0,2
30,no,non-travel,1400,research & development,3,3,life sciences,3,male,53,3,1,laboratory technician,4,married,2097,16734,4,no,15,3,3,1,9,3,1,5,3,1,4
29,no,travel_rarely,986,research & development,3,4,medical,2,male,93,2,3,research director,3,married,11935,21526,1,no,18,3,3,0,10,2,3,10,2,0,7
29,yes,travel_rarely,408,research & development,25,5,technical degree,3,female,71,2,1,research scientist,2,married,2546,18300,5,no,16,3,2,0,6,2,4,2,2,1,1
19,yes,travel_rarely,489,human resources,2,2,technical degree,1,male,52,2,1,human resources,4,single,2564,18437,1,no,12,3,3,0,1,3,4,1,0,0,0
30,no,non-travel,1398,sales,22,4,other,3,female,69,3,3,sales executive,1,married,8412,2890,0,no,11,3,3,0,10,3,3,9,8,7,8
57,no,travel_rarely,210,sales,29,3,marketing,1,male,56,2,4,manager,4,divorced,14118,22102,3,no,12,3,3,1,32,3,2,1,0,0,0
50,no,travel_rarely,1099,research & development,29,4,life sciences,2,male,88,2,4,manager,3,married,17046,9314,0,no,15,3,2,1,28,2,3,27,10,15,7
30,no,non-travel,1116,research & development,2,3,medical,3,female,49,3,1,laboratory technician,4,single,2564,7181,0,no,14,3,3,0,12,2,2,11,7,6,7
60,no,travel_frequently,1499,sales,28,3,marketing,3,female,80,2,3,sales executive,1,married,10266,2845,4,no,19,3,4,0,22,5,4,18,13,13,11
47,no,travel_rarely,983,research & development,2,2,medical,1,female,65,3,2,manufacturing director,4,divorced,5070,7389,5,no,13,3,3,3,20,2,3,5,0,0,4
46,no,travel_rarely,1009,research & development,2,3,life sciences,1,male,51,3,4,research director,3,married,17861,2288,6,no,13,3,3,0,26,2,1,3,2,0,1
35,no,travel_rarely,144,research & development,22,3,life sciences,4,male,46,1,1,laboratory technician,3,single,4230,19225,0,no,15,3,3,0,6,2,3,5,4,4,3
54,no,travel_rarely,548,research & development,8,4,life sciences,3,female,42,3,2,laboratory technician,3,single,3780,23428,7,no,11,3,3,0,19,3,3,1,0,0,0
34,no,travel_rarely,1303,research & development,2,4,life sciences,4,male,62,2,1,research scientist,3,divorced,2768,8416,3,no,12,3,3,1,14,3,3,7,3,5,7
46,no,travel_rarely,1125,sales,10,3,marketing,3,female,94,2,3,sales executive,4,married,9071,11563,2,yes,19,3,3,1,15,3,3,3,2,1,2
31,no,travel_rarely,1274,research & development,9,1,life sciences,3,male,33,3,3,manufacturing director,2,divorced,10648,14394,1,no,25,4,4,1,13,6,4,13,8,0,8
33,yes,travel_rarely,1277,research & development,15,1,medical,2,male,56,3,3,manager,3,married,13610,24619,7,yes,12,3,4,0,15,2,4,7,6,7,7
33,yes,travel_rarely,587,research & development,10,1,medical,1,male,38,1,1,laboratory technician,4,divorced,3408,6705,7,no,13,3,1,3,8,2,3,4,3,1,3
30,no,travel_rarely,413,sales,7,1,marketing,4,male,57,3,1,sales representative,2,single,2983,18398,0,no,14,3,1,0,4,3,3,3,2,1,2
35,no,travel_rarely,1276,research & development,16,3,life sciences,4,male,72,3,3,healthcare representative,3,married,7632,14295,4,yes,12,3,3,0,10,2,3,8,7,0,0
31,yes,travel_frequently,534,research & development,20,3,life sciences,1,male,66,3,3,healthcare representative,3,married,9824,22908,3,no,12,3,1,0,12,2,3,1,0,0,0
34,yes,travel_frequently,988,human resources,23,3,human resources,2,female,43,3,3,human resources,1,divorced,9950,11533,9,yes,15,3,3,3,11,2,3,3,2,0,2
42,no,travel_frequently,1474,research & development,5,2,other,2,male,97,3,1,laboratory technician,3,married,2093,9260,4,no,17,3,4,1,8,4,3,2,2,2,0
36,no,non-travel,635,sales,10,4,medical,2,male,32,3,3,sales executive,4,single,9980,15318,1,no,14,3,4,0,10,3,2,10,3,9,7
22,yes,travel_frequently,1368,research & development,4,1,technical degree,3,male,99,2,1,laboratory technician,3,single,3894,9129,5,no,16,3,3,0,4,3,3,2,2,1,2
48,no,travel_rarely,163,sales,2,5,marketing,2,female,37,3,2,sales executive,4,married,4051,19658,2,no,14,3,1,1,14,2,3,9,7,6,7
55,no,travel_rarely,1117,sales,18,5,life sciences,1,female,83,3,4,manager,2,single,16835,9873,3,no,23,4,4,0,37,2,3,10,9,7,7
41,no,non-travel,267,sales,10,2,life sciences,4,male,56,3,2,sales executive,4,single,6230,13430,7,no,14,3,4,0,16,3,3,14,3,1,10
35,no,travel_rarely,619,sales,1,3,marketing,2,male,85,3,2,sales executive,3,married,4717,18659,9,no,11,3,3,0,15,2,3,11,9,6,9
40,no,travel_rarely,302,research & development,6,3,life sciences,2,female,75,3,4,manufacturing director,3,single,13237,20364,7,no,15,3,3,0,22,3,3,20,6,5,13
39,no,travel_frequently,443,research & development,8,1,life sciences,3,female,48,3,1,laboratory technician,3,married,3755,17872,1,no,11,3,1,1,8,3,3,8,3,0,7
31,no,travel_rarely,828,sales,2,1,life sciences,2,male,77,3,2,sales executive,4,single,6582,8346,4,yes,13,3,3,0,10,2,4,6,5,0,5
42,no,travel_rarely,319,research & development,24,3,medical,4,male,56,3,3,manufacturing director,1,married,7406,6950,1,yes,21,4,4,1,10,5,2,10,9,5,8
45,no,travel_rarely,561,sales,2,3,other,4,male,61,3,2,sales executive,2,married,4805,16177,0,no,19,3,2,1,9,3,4,8,7,3,7
26,yes,travel_frequently,426,human resources,17,4,life sciences,2,female,58,3,1,human resources,3,divorced,2741,22808,0,yes,11,3,2,1,8,2,2,7,7,1,0
29,no,travel_rarely,232,research & development,19,3,technical degree,4,male,34,3,2,manufacturing director,4,divorced,4262,22645,4,no,12,3,2,2,8,2,4,3,2,1,2
33,no,travel_rarely,922,research & development,1,5,medical,1,female,95,4,4,research director,3,divorced,16184,22578,4,no,19,3,3,1,10,2,3,6,1,0,5
31,no,travel_rarely,688,sales,7,3,life sciences,3,male,44,2,3,manager,4,divorced,11557,25291,9,no,21,4,3,1,10,3,2,5,4,0,1
18,yes,travel_frequently,1306,sales,5,3,marketing,2,male,69,3,1,sales representative,2,single,1878,8059,1,yes,14,3,4,0,0,3,3,0,0,0,0
40,no,non-travel,1094,sales,28,3,other,3,male,58,1,3,sales executive,1,divorced,10932,11373,3,no,15,3,3,1,20,2,3,1,0,0,1
41,no,non-travel,509,research & development,2,4,other,1,female,62,2,2,healthcare representative,3,single,6811,2112,2,yes,17,3,1,0,10,3,3,8,7,0,7
26,no,travel_rarely,775,sales,29,2,medical,1,male,45,3,2,sales executive,3,divorced,4306,4267,5,no,12,3,1,2,8,5,3,0,0,0,0
35,no,travel_rarely,195,sales,1,3,medical,1,female,80,3,2,sales executive,3,single,4859,6698,1,no,16,3,4,0,5,3,3,5,4,0,3
34,no,travel_rarely,258,sales,21,4,life sciences,4,male,74,4,2,sales executive,4,single,5337,19921,1,no,12,3,4,0,10,3,3,10,7,5,7
26,yes,travel_rarely,471,research & development,24,3,technical degree,3,male,66,1,1,laboratory technician,4,single,2340,23213,1,yes,18,3,2,0,1,3,1,1,0,0,0
37,no,travel_rarely,799,research & development,1,3,technical degree,2,female,59,3,3,manufacturing director,4,single,7491,23848,4,no,17,3,4,0,12,3,4,6,5,1,2
46,no,travel_frequently,1034,research & development,18,1,medical,1,female,86,3,3,healthcare representative,3,married,10527,8984,5,no,11,3,4,0,28,3,2,2,2,1,2
41,no,travel_rarely,1276,sales,2,5,life sciences,2,female,91,3,4,manager,1,married,16595,5626,7,no,16,3,2,1,22,2,3,18,16,11,8
37,no,non-travel,142,sales,9,4,medical,1,male,69,3,3,sales executive,2,divorced,8834,24666,1,no,13,3,4,1,9,6,3,9,5,7,7
52,no,travel_rarely,956,research & development,6,2,technical degree,4,male,78,3,2,research scientist,1,divorced,5577,22087,3,yes,12,3,2,2,18,3,3,10,9,6,9
32,yes,non-travel,1474,sales,11,4,other,4,male,60,4,2,sales executive,3,married,4707,23914,8,no,12,3,4,0,6,2,3,4,2,1,2
24,no,travel_frequently,535,sales,24,3,medical,4,male,38,3,1,sales representative,4,married,2400,5530,0,no,13,3,3,2,3,3,3,2,2,2,1
38,no,travel_rarely,1495,research & development,10,3,medical,3,female,76,3,2,healthcare representative,3,married,9824,22174,3,no,19,3,3,1,18,4,3,1,0,0,0
37,no,travel_rarely,446,research & development,1,4,life sciences,2,female,65,3,2,manufacturing director,2,married,6447,15701,6,no,12,3,2,1,8,2,2,6,5,4,3
49,no,travel_rarely,1245,research & development,18,4,life sciences,4,male,58,2,5,research director,3,divorced,19502,2125,1,yes,17,3,3,1,31,5,3,31,9,0,9
24,no,travel_rarely,691,research & development,23,3,medical,2,male,89,4,1,research scientist,4,married,2725,21630,1,yes,11,3,2,2,6,3,3,6,5,1,4
26,no,travel_rarely,703,sales,28,2,marketing,1,male,66,3,2,sales executive,2,married,6272,7428,1,no,20,4,4,2,6,5,4,5,3,1,4
24,no,travel_rarely,823,research & development,17,2,other,4,male,94,2,1,laboratory technician,2,married,2127,9100,1,no,21,4,4,1,1,2,3,1,0,0,0
50,no,travel_frequently,1246,human resources,3,3,medical,1,male,99,3,5,manager,2,married,18200,7999,1,no,11,3,3,1,32,2,3,32,5,10,7
25,no,travel_rarely,622,sales,13,1,medical,2,male,40,3,1,sales representative,3,married,2096,26376,1,no,11,3,3,0,7,1,3,7,4,0,6
24,yes,travel_frequently,1287,research & development,7,3,life sciences,1,female,55,3,1,laboratory technician,3,married,2886,14168,1,yes,16,3,4,1,6,4,3,6,3,1,2
30,yes,travel_frequently,448,sales,12,4,life sciences,2,male,74,2,1,sales representative,1,married,2033,14470,1,no,18,3,3,1,1,2,4,1,0,0,0
34,no,travel_rarely,254,research & development,1,2,life sciences,2,male,83,2,1,research scientist,4,married,3622,22794,1,yes,13,3,4,1,6,3,3,6,5,1,3
31,yes,travel_rarely,1365,sales,13,4,medical,2,male,46,3,2,sales executive,1,divorced,4233,11512,2,no,17,3,3,0,9,2,1,3,1,1,2
35,no,travel_rarely,538,research & development,25,2,other,1,male,54,2,2,laboratory technician,4,single,3681,14004,4,no,14,3,4,0,9,3,3,3,2,0,2
31,no,travel_rarely,525,sales,6,4,medical,1,male,66,4,2,sales executive,4,divorced,5460,6219,4,no,22,4,4,2,13,4,4,7,7,5,7
27,no,travel_rarely,798,research & development,6,4,medical,1,female,66,2,1,research scientist,3,divorced,2187,5013,0,no,12,3,3,2,6,5,2,5,3,0,3
37,no,travel_rarely,558,sales,2,3,marketing,4,male,75,3,2,sales executive,3,married,9602,3010,4,yes,11,3,3,1,17,3,2,3,0,1,0
20,no,travel_rarely,959,research & development,1,3,life sciences,4,female,83,2,1,research scientist,2,single,2836,11757,1,no,13,3,4,0,1,0,4,1,0,0,0
42,no,travel_rarely,622,research & development,2,4,life sciences,3,female,81,3,2,healthcare representative,4,married,4089,5718,1,no,13,3,2,2,10,4,3,10,2,2,2
43,no,travel_rarely,782,research & development,6,4,other,2,male,50,2,4,research director,4,divorced,16627,2671,4,yes,14,3,3,1,21,3,2,1,0,0,0
38,no,travel_rarely,362,research & development,1,1,life sciences,3,female,43,3,1,research scientist,1,single,2619,14561,3,no,17,3,4,0,8,3,2,0,0,0,0
43,no,travel_frequently,1001,research & development,9,5,medical,4,male,72,3,2,laboratory technician,3,divorced,5679,19627,3,yes,13,3,2,1,10,3,3,8,7,4,7
48,no,travel_rarely,1236,research & development,1,4,life sciences,4,female,40,2,4,manager,1,married,15402,17997,7,no,11,3,1,1,21,3,1,3,2,0,2
44,no,travel_rarely,1112,human resources,1,4,life sciences,1,female,50,2,2,human resources,3,single,5985,26894,4,no,11,3,2,0,10,1,4,2,2,0,2
34,no,travel_rarely,204,sales,14,3,technical degree,3,female,31,3,1,sales representative,3,divorced,2579,2912,1,yes,18,3,4,2,8,3,3,8,2,0,6
27,yes,travel_rarely,1420,sales,2,1,marketing,3,male,85,3,1,sales representative,1,divorced,3041,16346,0,no,11,3,2,1,5,3,3,4,3,0,2
21,no,travel_rarely,1343,sales,22,1,technical degree,3,male,49,3,1,sales representative,3,single,3447,24444,1,no,11,3,3,0,3,2,3,3,2,1,2
44,no,travel_rarely,1315,research & development,3,4,other,4,male,35,3,5,manager,4,married,19513,9358,4,yes,12,3,1,1,26,2,4,2,2,0,1
22,no,travel_rarely,604,research & development,6,1,medical,1,male,69,3,1,research scientist,3,married,2773,12145,0,no,20,4,4,0,3,3,3,2,2,2,2
33,no,travel_rarely,1216,sales,8,4,marketing,3,male,39,3,2,sales executive,3,divorced,7104,20431,0,no,12,3,4,0,6,3,3,5,0,1,2
32,no,travel_rarely,646,research & development,9,4,life sciences,1,female,92,3,2,research scientist,4,married,6322,18089,1,yes,12,3,4,1,6,2,2,6,4,0,5
30,no,travel_frequently,160,research & development,3,3,medical,3,female,71,3,1,research scientist,3,divorced,2083,22653,1,no,20,4,3,1,1,2,3,1,0,0,0
53,no,travel_rarely,238,sales,1,1,medical,4,female,34,3,2,sales executive,1,single,8381,7507,7,no,20,4,4,0,18,2,4,14,7,8,10
34,no,travel_rarely,1397,research & development,1,5,life sciences,2,male,42,3,1,research scientist,4,married,2691,7660,1,no,12,3,4,1,10,4,2,10,9,8,8
45,yes,travel_frequently,306,sales,26,4,life sciences,1,female,100,3,2,sales executive,1,married,4286,5630,2,no,14,3,4,2,5,4,3,1,1,0,0
26,no,travel_rarely,991,research & development,6,3,life sciences,3,female,71,3,1,laboratory technician,4,married,2659,17759,1,yes,13,3,3,1,3,2,3,3,2,0,2
37,no,travel_rarely,482,research & development,3,3,other,3,male,36,3,3,manufacturing director,3,married,9434,9606,1,no,15,3,3,1,10,2,3,10,7,7,8
29,no,travel_rarely,1176,sales,3,2,medical,2,female,62,3,2,sales executive,3,married,5561,3487,1,no,14,3,1,1,6,5,2,6,0,1,2
35,no,travel_rarely,1017,research & development,6,4,life sciences,2,male,82,1,2,research scientist,4,single,6646,19368,1,no,13,3,2,0,17,3,3,17,11,11,8
33,no,travel_frequently,1296,research & development,6,3,life sciences,3,male,30,3,2,healthcare representative,4,divorced,7725,5335,3,no,23,4,3,1,15,2,1,13,11,4,7
54,no,travel_rarely,397,human resources,19,4,medical,3,male,88,3,3,human resources,2,married,10725,6729,2,no,15,3,3,1,16,1,4,9,7,7,1
36,no,travel_rarely,913,research & development,9,2,medical,2,male,48,2,2,manufacturing director,2,divorced,8847,13934,2,yes,11,3,3,1,13,2,3,3,2,0,2
27,no,travel_rarely,1115,research & development,3,4,medical,1,male,54,2,1,research scientist,4,single,2045,15174,0,no,13,3,4,0,5,0,3,4,2,1,1
20,yes,travel_rarely,1362,research & development,10,1,medical,4,male,32,3,1,research scientist,3,single,1009,26999,1,yes,11,3,4,0,1,5,3,1,0,1,1
33,yes,travel_frequently,1076,research & development,3,3,life sciences,1,male,70,3,1,research scientist,1,single,3348,3164,1,yes,11,3,1,0,10,3,3,10,8,9,7
35,no,non-travel,727,research & development,3,3,life sciences,3,male,41,2,1,laboratory technician,3,married,1281,16900,1,no,18,3,3,2,1,3,3,1,0,0,0
23,no,travel_rarely,885,research & development,4,3,medical,1,male,58,4,1,research scientist,1,married,2819,8544,2,no,16,3,1,1,5,3,4,3,2,0,2
25,no,travel_rarely,810,sales,8,3,life sciences,4,male,57,4,2,sales executive,2,married,4851,15678,0,no,22,4,3,1,4,4,3,3,2,1,2
38,no,travel_rarely,243,sales,7,4,marketing,4,female,46,2,2,sales executive,4,single,4028,7791,0,no,20,4,1,0,8,2,3,7,7,0,5
29,no,travel_frequently,806,research & development,1,4,life sciences,2,male,76,1,1,research scientist,4,divorced,2720,18959,1,no,18,3,4,1,10,5,3,10,7,2,8
48,no,travel_rarely,817,sales,2,1,marketing,2,male,56,4,2,sales executive,2,married,8120,18597,3,no,12,3,4,0,12,3,3,2,2,2,2
27,no,travel_frequently,1410,sales,3,1,medical,4,female,71,4,2,sales executive,4,divorced,4647,16673,1,yes,20,4,2,2,6,3,3,6,5,0,4
37,no,travel_rarely,1225,research & development,10,2,life sciences,4,male,80,4,1,research scientist,4,single,4680,15232,3,no,17,3,1,0,4,2,3,1,0,0,0
50,no,travel_rarely,1207,research & development,28,1,medical,4,male,74,4,1,laboratory technician,3,married,3221,3297,1,yes,11,3,3,3,20,3,3,20,8,3,8
34,no,travel_rarely,1442,research & development,9,3,medical,4,female,46,2,3,healthcare representative,2,single,8621,17654,1,no,14,3,2,0,9,3,4,8,7,7,7
24,yes,travel_rarely,693,sales,3,2,life sciences,1,female,65,3,2,sales executive,3,single,4577,24785,9,no,14,3,1,0,4,3,3,2,2,2,0
39,no,travel_rarely,408,research & development,2,4,technical degree,4,female,80,2,2,healthcare representative,3,single,4553,20978,1,no,11,3,1,0,20,4,3,20,7,11,10
32,no,travel_rarely,929,sales,10,3,marketing,4,male,55,3,2,sales executive,4,single,5396,21703,1,no,12,3,4,0,10,2,2,10,7,0,8
50,yes,travel_frequently,562,sales,8,2,technical degree,2,male,50,3,2,sales executive,3,married,6796,23452,3,yes,14,3,1,1,18,4,3,4,3,1,3
38,no,travel_rarely,827,research & development,1,4,life sciences,2,female,33,4,2,healthcare representative,4,single,7625,19383,0,no,13,3,3,0,10,4,2,9,7,1,8
27,no,travel_rarely,608,research & development,1,2,life sciences,3,female,68,3,3,manufacturing director,1,married,7412,6009,1,no,11,3,4,0,9,3,3,9,7,0,7
32,no,travel_rarely,1018,research & development,3,2,life sciences,3,female,39,3,3,research director,4,single,11159,19373,3,no,15,3,4,0,10,6,3,7,7,7,7
47,no,travel_rarely,703,sales,14,4,marketing,4,male,42,3,2,sales executive,1,single,4960,11825,2,no,12,3,4,0,20,2,3,7,7,1,7
40,no,travel_frequently,580,sales,5,4,life sciences,4,male,48,2,3,sales executive,1,married,10475,23772,5,yes,21,4,3,1,20,2,3,18,13,1,12
53,no,travel_rarely,970,research & development,7,3,life sciences,3,male,59,4,4,research director,3,married,14814,13514,3,no,19,3,3,0,32,3,3,5,1,1,3
41,no,travel_rarely,427,human resources,10,4,human resources,2,male,73,2,5,manager,4,divorced,19141,8861,3,no,15,3,2,3,23,2,2,21,6,12,6
60,no,travel_rarely,1179,sales,16,4,marketing,1,male,84,3,2,sales executive,1,single,5405,11924,8,no,14,3,4,0,10,1,3,2,2,2,2
27,no,travel_frequently,294,research & development,10,2,life sciences,4,male,32,3,3,manufacturing director,1,divorced,8793,4809,1,no,21,4,3,2,9,4,2,9,7,1,7
41,no,travel_rarely,314,human resources,1,3,human resources,4,male,59,2,5,manager,3,married,19189,19562,1,no,12,3,2,1,22,3,3,22,7,2,10
50,no,travel_rarely,316,sales,8,4,marketing,4,male,54,3,1,sales representative,2,married,3875,9983,7,no,15,3,4,1,4,2,3,2,2,2,2
28,yes,travel_rarely,654,research & development,1,2,life sciences,1,female,67,1,1,research scientist,2,single,2216,3872,7,yes,13,3,4,0,10,4,3,7,7,3,7
36,no,non-travel,427,research & development,8,3,life sciences,1,female,63,4,3,research director,1,married,11713,20335,9,no,14,3,1,1,10,2,3,8,7,0,5
38,no,travel_rarely,168,research & development,1,3,life sciences,3,female,81,3,3,manufacturing director,3,single,7861,15397,4,yes,14,3,4,0,10,4,4,1,0,0,0
44,no,non-travel,381,research & development,24,3,medical,1,male,49,1,1,laboratory technician,3,single,3708,2104,2,no,14,3,3,0,9,5,3,5,2,1,4
47,no,travel_frequently,217,sales,3,3,medical,4,female,49,3,4,sales executive,3,divorced,13770,10225,9,yes,12,3,4,2,28,2,2,22,2,11,13
30,no,travel_rarely,501,sales,27,5,marketing,3,male,99,3,2,sales executive,4,divorced,5304,25275,7,no,23,4,4,1,10,2,2,8,7,7,7
