,age,attrition,businesstravel,department,distancefromhome,education,educationfield,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,salaryquartile,worklesstwoyears,newatcompany,highriskjob,youngsingleoverworked,stay_prob
208,40,0,non-travel,research & development,9,5,life sciences,4,male,2,2,healthcare representative,4,married,4876,9,no,14,3,4,1,5,5,1,3,2,0,2,3,0,0,0,1,0.9910159448127299
210,32,1,travel_rarely,sales,4,4,medical,4,male,1,3,sales executive,4,married,10400,1,no,11,3,3,0,14,2,2,14,8,9,8,5,0,0,0,0,0.877374681145836
211,30,0,non-travel,research & development,1,1,life sciences,3,male,2,3,manufacturing director,3,single,8474,1,no,22,4,3,0,12,2,3,11,8,5,8,4,0,0,0,2,0.9895689551943307
212,27,0,travel_frequently,sales,20,3,life sciences,4,female,3,2,sales executive,3,single,9981,1,no,14,3,4,0,7,2,3,7,7,0,7,5,0,0,0,2,0.9033527575394239
214,30,1,travel_rarely,research & development,3,3,technical degree,4,female,3,1,research scientist,1,single,2657,5,yes,11,3,3,0,8,5,3,5,2,0,4,1,0,0,0,2,0.5296956735337467
215,41,0,travel_rarely,sales,6,3,life sciences,4,female,3,3,manager,4,single,13591,3,yes,18,3,3,0,16,3,3,1,0,0,0,5,0,1,0,2,0.9600444609521122
216,30,1,travel_frequently,sales,26,4,marketing,3,female,2,2,sales executive,1,single,6696,5,no,15,3,3,0,9,5,2,6,3,0,1,4,0,0,0,2,0.0651858156081221
217,29,1,travel_rarely,research & development,1,3,technical degree,3,male,3,1,research scientist,3,single,2058,0,no,14,3,4,0,7,1,2,6,2,1,5,1,0,0,0,1,0.941485707836731
220,36,0,travel_rarely,research & development,5,2,life sciences,4,male,3,2,laboratory technician,2,single,5914,8,no,16,3,4,0,16,3,4,13,11,3,7,4,0,0,1,1,0.9691845500161598
221,33,0,travel_rarely,research & development,4,4,medical,3,female,2,1,research scientist,2,married,2622,6,no,21,4,4,0,7,3,3,3,2,1,1,1,0,0,0,0,0.9311498539604925
222,37,0,travel_frequently,research & development,11,3,other,2,male,3,3,research director,4,divorced,12185,1,yes,14,3,3,3,10,1,3,10,8,0,7,5,0,0,0,2,0.992455478826453
223,38,0,travel_rarely,sales,3,3,life sciences,1,male,3,3,sales executive,3,divorced,10609,0,no,12,3,3,2,17,6,2,16,10,5,13,5,0,0,0,0,0.9992395174979743
224,31,0,non-travel,research & development,1,4,medical,3,male,1,2,manufacturing director,3,married,4345,0,no,12,3,4,1,6,2,3,5,4,1,4,3,0,0,0,1,0.9987012411356839
226,37,0,travel_frequently,sales,4,4,marketing,1,male,3,1,sales representative,4,divorced,2793,4,no,17,3,3,1,13,2,3,9,8,5,8,2,0,0,1,1,0.9271495145468143
227,29,0,travel_frequently,sales,1,1,medical,2,female,3,3,sales executive,4,married,7918,1,no,14,3,4,1,11,5,3,11,10,4,1,4,0,0,0,1,0.9917322081966594
228,35,0,travel_frequently,sales,1,3,marketing,3,female,3,3,sales executive,3,single,8789,1,no,14,3,1,0,10,3,4,10,7,0,8,4,0,0,0,2,0.940948952968857
229,29,1,travel_rarely,research & development,18,1,medical,3,male,2,1,research scientist,4,single,2389,1,yes,13,3,3,0,4,3,2,4,3,0,1,1,0,0,0,2,0.27411652898902344
234,33,1,travel_rarely,research & development,14,3,medical,3,male,3,1,laboratory technician,4,married,2436,5,yes,13,3,3,1,8,2,1,5,4,0,4,1,0,0,1,1,0.591207425312996
236,33,1,travel_rarely,research & development,2,2,life sciences,1,female,3,1,laboratory technician,1,married,2707,7,no,20,4,1,0,13,3,4,9,7,1,7,2,0,0,1,0,0.633152067823722
238,32,0,travel_rarely,sales,4,2,life sciences,3,female,3,1,sales representative,2,married,3931,2,no,11,3,1,1,6,5,3,4,3,1,2,2,0,0,1,0,0.9129705082401897
239,32,1,travel_rarely,research & development,1,3,life sciences,4,male,2,1,laboratory technician,3,single,3730,0,yes,14,3,4,0,4,2,1,3,2,1,2,2,0,0,1,2,0.19694720175116356
240,39,0,travel_rarely,research & development,1,4,medical,3,female,3,1,laboratory technician,3,divorced,2232,7,no,14,3,3,3,7,1,3,3,2,1,2,1,0,0,1,0,0.9908594938647858
241,32,0,non-travel,sales,26,4,marketing,3,male,3,2,sales executive,4,married,4465,0,no,18,3,1,0,4,2,3,3,2,2,2,3,0,0,0,1,0.8222525893965413
242,41,0,travel_rarely,research & development,19,2,life sciences,3,male,3,2,research scientist,1,divorced,3072,2,no,16,3,1,2,17,2,2,1,0,0,0,2,0,1,0,0,0.9432077744167956
243,40,0,travel_rarely,research & development,24,2,technical degree,1,male,3,2,research scientist,4,divorced,3319,1,no,17,3,1,2,9,3,3,9,8,4,7,2,0,0,0,0,0.986894349193492
245,31,0,travel_frequently,research & development,3,4,medical,2,male,3,3,research director,3,divorced,13675,9,no,12,3,1,1,9,3,3,2,2,2,2,5,0,0,0,1,0.6561079026456798
246,33,0,travel_rarely,research & development,5,4,life sciences,3,female,2,1,research scientist,4,married,2911,1,no,13,3,3,1,2,2,2,2,2,0,2,2,0,0,0,0,0.9759162828538283
247,34,0,travel_rarely,research & development,2,4,life sciences,4,male,2,2,manufacturing director,1,married,5957,6,no,13,3,2,1,13,3,3,11,9,5,9,4,0,0,0,0,0.9691400238548676
248,37,0,travel_rarely,research & development,1,2,medical,3,female,2,1,research scientist,1,married,3920,2,no,14,3,1,1,17,2,2,3,1,0,2,2,0,0,0,0,0.8992805061019131
250,37,1,travel_frequently,research & development,10,3,medical,1,male,3,3,manufacturing director,3,divorced,10048,6,no,11,3,2,2,17,5,3,1,0,0,0,5,0,1,0,1,0.9968220752217879
251,39,0,travel_frequently,research & development,2,4,technical degree,3,female,3,3,healthcare representative,3,single,10938,0,no,25,4,4,0,20,1,3,19,6,11,8,5,0,0,0,2,0.9765225972450893
252,29,0,travel_rarely,research & development,15,3,life sciences,3,male,3,1,research scientist,4,single,2340,1,no,19,3,1,0,6,1,3,6,5,1,5,1,0,0,0,1,0.5122814998559659
254,29,0,travel_rarely,sales,20,2,marketing,4,male,3,2,sales executive,4,divorced,6931,2,no,14,3,4,1,10,2,3,3,2,0,2,4,0,0,0,0,0.9972113990191206
255,25,0,travel_rarely,research & development,1,3,life sciences,1,female,3,2,manufacturing director,3,married,4898,0,no,12,3,4,2,5,3,3,4,2,1,2,3,0,0,0,0,0.9978121728335352
257,40,0,travel_rarely,research & development,2,2,medical,1,male,3,5,research director,3,divorced,19436,0,no,19,3,4,1,22,5,3,21,7,3,9,5,0,0,0,0,0.9991844992427023
259,31,1,travel_frequently,research & development,29,2,medical,3,male,2,1,laboratory technician,2,single,3479,0,no,11,3,2,0,6,2,4,5,4,1,4,2,0,0,1,2,0.28770366653929735
260,32,0,travel_frequently,research & development,7,3,life sciences,2,male,4,1,laboratory technician,2,married,2794,1,no,20,4,3,0,5,3,1,5,1,0,3,2,0,0,1,1,0.8401263012301794
261,38,0,non-travel,sales,2,2,life sciences,4,male,2,2,sales executive,4,married,5249,3,no,18,3,4,1,13,0,3,8,7,7,5,3,0,0,0,1,0.9857518021561907
262,32,0,travel_rarely,research & development,2,1,technical degree,4,male,2,2,laboratory technician,1,single,2176,4,no,13,3,4,0,9,5,3,6,2,0,4,1,0,0,1,1,0.8511274388040907
264,28,1,travel_rarely,research & development,2,4,life sciences,1,male,3,1,laboratory technician,3,single,3485,2,no,11,3,3,0,5,5,1,0,0,0,0,2,0,1,1,1,0.296860127313011
265,29,0,travel_rarely,sales,2,3,medical,1,male,2,2,sales executive,2,married,6644,2,no,19,3,2,2,10,2,3,0,0,0,0,4,0,1,0,0,0.6422439002825158
266,31,0,travel_rarely,research & development,23,3,medical,2,male,2,2,healthcare representative,4,married,5582,0,no,21,4,2,1,10,2,3,9,0,7,8,3,0,0,0,0,0.9684595451917135
267,25,0,non-travel,research & development,5,2,life sciences,2,male,4,2,healthcare representative,1,divorced,4000,1,no,12,3,4,2,6,2,3,6,3,1,5,2,0,0,0,1,0.9965762513468343
269,36,0,travel_rarely,research & development,6,3,life sciences,4,male,3,1,laboratory technician,4,married,3210,0,no,11,3,3,1,16,4,3,15,13,10,11,2,0,0,1,0,0.9983486209575193
272,28,0,travel_rarely,research & development,9,3,medical,4,male,3,1,research scientist,4,married,2070,1,no,23,4,4,1,5,3,2,5,2,0,4,1,0,0,0,0,0.9988020257576989
273,37,0,travel_rarely,sales,6,4,medical,3,male,3,2,sales executive,4,married,6502,4,no,14,3,2,1,7,5,4,5,4,0,1,4,0,0,0,0,0.9964998629497541
274,21,0,travel_rarely,research & development,3,2,medical,4,male,2,1,research scientist,3,single,3230,1,no,17,3,1,0,3,4,4,3,2,1,0,2,0,0,0,1,0.585742127467708
275,37,0,non-travel,research & development,1,4,medical,1,female,3,3,research director,4,divorced,13603,2,yes,18,3,1,2,15,2,3,5,2,0,2,5,0,0,0,2,0.9770893515361349
276,35,0,travel_rarely,research & development,22,3,life sciences,2,female,4,3,manager,2,divorced,11996,7,no,18,3,2,1,10,6,2,7,7,6,2,5,0,0,0,0,0.9426850969798204
277,38,0,travel_rarely,sales,7,2,medical,1,female,4,2,sales executive,1,divorced,5605,1,yes,24,4,3,1,8,3,3,8,0,7,7,3,0,0,0,1,0.7990249169179415
278,26,0,travel_frequently,research & development,1,3,life sciences,3,female,3,2,manufacturing director,2,divorced,6397,1,no,20,4,1,1,6,6,1,6,5,1,4,4,0,0,0,1,0.982199768527008
282,29,0,travel_frequently,sales,2,2,life sciences,2,male,3,2,sales executive,4,single,4554,1,no,18,3,1,0,10,3,2,10,7,0,9,3,0,0,0,2,0.5819427285789807
284,26,0,travel_frequently,research & development,11,2,medical,1,male,3,2,healthcare representative,1,married,4741,1,yes,13,3,3,1,5,3,3,5,3,3,3,3,0,0,0,2,0.2573217307864809
285,37,0,travel_rarely,research & development,1,3,life sciences,4,female,3,1,research scientist,4,single,2115,1,no,12,3,2,0,17,3,3,17,12,5,7,1,0,0,0,1,0.9881371874306722
287,38,0,travel_rarely,research & development,23,4,life sciences,4,male,3,2,healthcare representative,4,divorced,5745,9,no,14,3,2,1,10,2,3,2,2,1,2,4,0,0,0,0,0.9846086104891594
288,26,1,travel_rarely,research & development,16,4,medical,1,male,3,1,laboratory technician,2,divorced,2373,2,yes,13,3,4,1,5,2,3,3,2,0,2,1,0,0,1,1,0.28802683640829674
289,28,0,travel_rarely,research & development,8,2,life sciences,4,female,3,1,research scientist,4,single,3310,1,no,21,4,4,0,5,3,3,5,3,0,2,2,0,0,0,1,0.9955812180658757
291,36,0,travel_rarely,research & development,3,3,technical degree,3,male,3,2,research scientist,2,single,4485,4,no,12,3,4,0,10,2,3,8,0,7,7,3,0,0,0,1,0.9279662679823837
292,31,0,travel_frequently,sales,5,3,marketing,4,female,3,1,sales representative,2,divorced,2789,1,no,11,3,3,1,2,5,2,2,2,2,2,2,0,0,1,1,0.9651847090600104
293,26,1,travel_rarely,sales,4,4,marketing,4,male,2,2,sales executive,4,single,5828,1,yes,12,3,2,0,8,0,3,8,7,7,4,4,0,0,0,2,0.07642965799342333
294,37,0,travel_frequently,research & development,9,3,medical,2,male,3,1,research scientist,4,married,2326,1,yes,12,3,3,3,4,3,2,4,2,1,2,1,0,0,0,2,0.9522575307776345
296,18,1,travel_rarely,research & development,3,3,life sciences,3,male,3,1,laboratory technician,3,single,1420,1,no,13,3,3,0,0,2,3,0,0,0,0,1,1,1,1,1,0.16563649374488928
297,35,0,travel_rarely,sales,16,3,marketing,3,male,3,3,sales executive,2,married,8020,0,no,15,3,3,2,12,3,2,11,9,6,9,4,0,0,0,0,0.9892376671475169
298,36,0,travel_frequently,research & development,18,4,life sciences,3,male,4,1,laboratory technician,4,married,3688,4,no,18,3,4,2,4,2,3,1,0,0,0,2,0,1,1,1,0.9678623581902894
300,41,0,travel_rarely,sales,2,4,life sciences,4,male,3,4,manager,2,single,16015,1,no,19,3,2,0,22,2,3,22,10,0,4,5,0,0,0,1,0.9718924398244334
301,18,0,travel_rarely,sales,10,3,medical,4,female,2,1,sales representative,3,single,1200,1,no,12,3,1,0,0,2,3,0,0,0,0,1,1,1,1,1,0.06397604195113975
302,28,0,travel_rarely,research & development,16,2,medical,2,male,4,2,healthcare representative,1,single,5661,0,no,19,3,3,0,9,2,3,8,3,0,7,3,0,0,0,1,0.9360312628152122
303,31,0,travel_rarely,sales,7,3,technical degree,2,male,4,2,sales executive,4,married,6929,4,no,11,3,2,1,10,3,2,8,7,7,7,4,0,0,0,0,0.9594635591048084
304,39,0,travel_rarely,research & development,1,3,medical,3,male,4,3,healthcare representative,4,divorced,9613,0,no,17,3,1,3,19,5,2,18,10,3,7,4,0,0,0,0,0.9999378988900917
305,36,0,non-travel,research & development,24,4,life sciences,2,female,3,2,laboratory technician,2,married,5674,7,no,15,3,3,1,11,3,3,9,8,0,8,3,0,0,1,1,0.949187652220924
306,32,0,travel_rarely,sales,7,3,life sciences,4,male,2,2,sales executive,3,married,5484,1,no,14,3,3,1,13,3,2,13,8,4,8,3,0,0,0,0,0.9642615021708136
307,38,0,travel_rarely,research & development,25,2,life sciences,1,female,2,3,research director,2,married,12061,3,no,17,3,3,1,19,2,3,10,8,0,1,5,0,0,0,0,0.8823157822119163
309,31,0,travel_rarely,research & development,5,4,technical degree,3,male,3,1,research scientist,4,married,4821,0,yes,12,3,3,1,6,4,3,5,2,0,3,3,0,0,0,1,0.9890688291297456
310,31,0,travel_rarely,human resources,2,3,human resources,1,male,2,2,human resources,1,married,6410,3,no,12,3,4,0,9,1,3,2,2,1,0,4,0,0,0,0,0.4051553844222275
312,31,0,travel_rarely,research & development,2,4,life sciences,3,male,3,1,research scientist,4,divorced,2695,0,yes,18,3,2,1,3,2,1,2,2,2,2,1,0,0,0,1,0.5042762384639293
313,33,0,travel_frequently,research & development,5,4,life sciences,4,female,3,3,manager,2,married,11878,6,no,11,3,2,2,12,2,3,10,6,8,8,5,0,0,0,1,0.9806056465235128
314,39,0,travel_rarely,research & development,10,1,medical,3,male,3,4,manager,1,married,17068,1,yes,14,3,4,0,21,3,3,21,9,11,10,5,0,0,0,1,0.9274769421278438
318,27,0,travel_rarely,research & development,5,3,life sciences,3,female,3,1,research scientist,2,single,2478,1,yes,12,3,2,0,4,2,2,4,3,1,2,1,0,0,0,2,0.059080576114391964
319,32,0,travel_rarely,sales,8,2,technical degree,3,female,2,2,sales executive,2,married,5228,1,yes,11,3,4,0,13,2,3,13,12,11,9,3,0,0,0,1,0.37345031887072744
320,27,0,travel_rarely,sales,2,3,life sciences,4,male,3,2,sales executive,3,single,4478,1,yes,11,3,1,0,5,3,3,5,4,0,4,3,0,0,0,2,0.34730435078133065
321,31,0,travel_rarely,sales,7,3,marketing,4,male,3,2,sales executive,4,divorced,7547,4,no,12,3,4,3,13,3,3,7,7,1,7,4,0,0,0,0,0.9998865680703887
322,32,0,travel_rarely,research & development,2,4,medical,1,female,4,2,research scientist,4,single,5055,7,no,16,3,3,0,10,0,2,7,7,0,7,3,0,0,0,1,0.9312678937946052
323,28,1,travel_rarely,research & development,2,4,medical,1,male,1,1,research scientist,4,married,3464,5,yes,13,3,4,0,5,4,2,3,2,2,2,2,0,0,0,1,0.13897758295551663
324,30,0,travel_rarely,research & development,28,2,medical,4,female,3,2,research scientist,4,married,5775,1,no,13,3,4,2,11,2,3,10,8,1,9,4,0,0,0,0,0.9999153969927564
325,31,0,travel_frequently,research & development,7,2,life sciences,3,female,2,3,manufacturing director,3,married,8943,1,no,24,4,1,1,10,2,3,10,9,8,9,4,0,0,0,1,0.9314791205629585
326,39,0,travel_frequently,research & development,7,2,medical,3,male,2,5,manager,4,married,19272,1,no,15,3,1,1,21,2,3,21,9,13,3,5,0,0,0,1,0.7646911056863265
327,39,1,travel_rarely,sales,3,2,medical,4,female,3,2,sales executive,3,married,5238,4,yes,18,3,1,0,12,3,2,1,0,0,0,3,0,1,0,1,0.5518202731897468
328,33,0,travel_frequently,sales,10,3,marketing,2,male,2,2,sales executive,4,single,4682,3,no,14,3,3,0,9,6,2,7,7,0,1,3,0,0,0,2,0.6190258087258094
331,27,0,non-travel,sales,1,1,marketing,3,male,3,2,sales executive,2,married,6349,0,yes,13,3,4,1,6,0,3,5,4,1,4,4,0,0,0,2,0.9129333082630519
335,40,0,travel_rarely,sales,1,2,medical,2,male,1,2,sales executive,4,married,7457,2,yes,22,4,3,3,6,2,2,4,3,0,2,4,0,0,0,1,0.9340270909063314
336,29,1,travel_rarely,research & development,8,4,other,2,male,1,1,laboratory technician,1,married,2119,1,yes,11,3,4,0,7,4,2,7,7,0,7,1,0,0,1,1,0.08000934271457481
337,29,0,travel_rarely,research & development,9,5,other,2,male,2,1,laboratory technician,4,single,3983,0,no,17,3,3,0,4,2,3,3,2,2,2,2,0,0,1,1,0.32557797635280156
338,30,0,travel_rarely,sales,5,3,marketing,4,female,2,2,sales executive,3,divorced,6118,1,no,13,3,3,3,10,2,3,10,9,1,2,4,0,0,0,0,0.9973563962247378
339,27,0,travel_rarely,sales,8,4,marketing,2,female,3,2,sales executive,2,married,6214,1,no,18,3,1,1,8,3,3,8,7,0,7,4,0,0,0,0,0.8743879885882426
340,37,0,travel_rarely,research & development,5,2,medical,4,male,3,2,manufacturing director,4,divorced,6347,7,no,16,3,3,2,8,2,2,6,2,0,4,4,0,0,0,0,0.9995397464999827
341,38,0,travel_rarely,research & development,15,2,life sciences,3,male,2,3,research director,4,divorced,11510,0,yes,14,3,2,1,12,3,3,11,10,2,9,5,0,0,0,1,0.9857629169918947
342,31,0,travel_rarely,research & development,7,4,medical,3,female,3,3,manufacturing director,4,single,7143,1,yes,14,3,3,0,11,2,2,11,9,4,10,4,0,0,0,2,0.9710607944758209
343,29,0,travel_rarely,sales,10,1,marketing,4,female,2,2,sales executive,2,divorced,8268,1,yes,14,3,1,2,7,2,3,7,7,1,7,4,0,0,0,1,0.6696587043617611
344,35,0,travel_rarely,research & development,5,4,technical degree,3,male,3,3,manufacturing director,2,single,8095,0,no,13,3,4,0,17,5,3,16,6,0,13,4,0,0,0,1,0.999810744374438
345,23,0,travel_rarely,research & development,26,1,life sciences,3,male,3,1,research scientist,4,divorced,2904,1,no,12,3,3,2,4,2,2,4,2,0,2,2,0,0,0,0,0.9793263740994885
346,41,0,travel_rarely,research & development,6,3,medical,4,male,2,2,manufacturing director,2,single,6032,6,yes,15,3,4,0,8,3,3,5,4,1,2,4,0,0,0,2,0.8836950848758942
349,29,0,non-travel,sales,2,3,life sciences,4,male,3,2,sales executive,3,married,4649,1,no,14,3,1,1,4,3,2,4,3,0,2,3,0,0,0,1,0.9575504102714409
351,32,0,travel_rarely,research & development,2,3,medical,3,female,3,1,laboratory technician,2,married,2370,1,no,13,3,3,1,8,4,3,8,0,0,7,1,0,0,1,0,0.993090845071128
353,37,0,travel_rarely,research & development,6,3,medical,3,male,4,2,research scientist,1,divorced,5974,4,yes,13,3,1,2,13,2,3,7,7,6,7,4,0,0,0,1,0.9535180859761581
354,30,0,non-travel,sales,25,2,technical degree,4,female,3,2,sales executive,3,married,4736,7,yes,12,3,2,1,4,2,4,2,2,2,2,3,0,0,0,2,0.5477639521818557
355,26,0,travel_rarely,sales,1,3,life sciences,3,male,3,2,sales executive,3,married,5296,1,no,17,3,2,1,8,3,3,8,7,7,7,3,0,0,0,0,0.8589964307280619
357,21,1,travel_frequently,sales,1,1,technical degree,1,female,2,1,sales representative,2,single,2174,1,yes,11,3,3,0,3,3,3,3,2,1,2,1,0,0,1,3,0.008469780978264837
358,36,0,non-travel,sales,1,5,medical,4,female,3,2,sales executive,4,single,6653,4,no,15,3,2,0,7,6,3,1,0,0,0,4,0,1,0,2,0.9881520654387103
359,36,0,travel_frequently,sales,3,4,medical,1,male,2,3,sales executive,4,married,9699,4,no,11,3,1,1,16,2,3,13,9,1,12,4,0,0,0,1,0.9122669990156719
361,40,0,travel_rarely,research & development,10,4,life sciences,4,female,4,1,laboratory technician,3,married,2213,3,yes,13,3,3,1,10,3,3,7,7,1,7,1,0,0,1,1,0.9880191446931585
362,21,0,non-travel,sales,9,2,medical,1,male,3,1,sales representative,4,single,2610,1,no,24,4,3,0,3,3,2,3,2,2,2,1,0,0,1,2,0.5844999504798989
363,33,1,travel_rarely,sales,5,3,marketing,4,female,3,1,sales representative,3,single,2851,1,yes,13,3,2,0,1,2,3,1,0,0,0,2,1,1,1,2,0.2050945046874375
364,37,0,travel_rarely,research & development,10,3,medical,3,female,3,1,laboratory technician,1,married,3452,6,no,20,4,2,1,17,3,3,5,4,0,3,2,0,0,1,0,0.9773994634324876
366,41,1,travel_frequently,sales,4,3,marketing,1,male,3,2,sales executive,2,single,9355,1,no,18,3,3,0,8,5,3,8,7,7,7,4,0,0,0,2,0.4807885159102817
368,40,1,travel_rarely,sales,22,2,marketing,3,male,2,2,sales executive,3,married,6380,2,yes,12,3,1,2,8,6,3,6,4,1,0,4,0,0,0,1,0.7896677619147433
369,31,0,travel_rarely,research & development,9,4,life sciences,3,male,2,1,research scientist,2,single,2657,0,yes,16,3,4,0,3,5,3,2,2,2,2,1,0,0,0,2,0.2500732184973072
370,21,1,travel_rarely,sales,12,3,life sciences,3,female,4,1,sales representative,2,single,2716,1,no,15,3,4,0,1,0,3,1,0,0,0,2,1,1,1,1,0.3231607500555819
371,29,0,travel_rarely,research & development,23,3,life sciences,4,male,3,1,research scientist,4,single,2201,9,no,16,3,4,0,6,4,3,3,2,1,2,1,0,0,0,1,0.7528863947880802
372,35,0,travel_rarely,research & development,9,4,life sciences,3,male,2,2,healthcare representative,2,single,6540,9,no,19,3,3,0,10,5,3,1,1,0,0,4,0,1,0,1,0.4695018201726929
373,27,0,travel_rarely,research & development,1,2,medical,4,male,3,1,laboratory technician,2,divorced,3816,1,no,11,3,2,1,5,2,3,5,2,0,4,2,0,0,1,0,0.975201416197913
374,28,0,travel_rarely,sales,9,4,life sciences,2,male,3,2,sales executive,4,single,5253,1,no,16,3,4,0,7,1,3,7,5,0,7,3,0,0,0,1,0.908757614807075
377,36,0,travel_rarely,research & development,2,3,life sciences,4,female,3,1,research scientist,3,married,2543,4,no,13,3,2,1,6,3,3,2,2,2,2,1,0,0,0,0,0.9828047087673394
378,34,1,non-travel,sales,19,3,marketing,1,male,4,2,sales executive,4,single,5304,8,yes,13,3,2,0,9,3,2,5,2,0,4,3,0,0,0,3,0.16771061931955178
380,24,0,travel_rarely,sales,10,4,marketing,4,female,3,2,sales executive,3,divorced,4260,1,yes,12,3,4,1,5,2,4,5,2,0,3,3,0,0,0,1,0.9633456825075283
381,30,0,travel_rarely,sales,2,1,technical degree,3,male,3,1,sales representative,2,married,2476,1,no,18,3,1,1,1,3,3,1,0,0,0,1,1,1,1,0,0.43443802512199986
382,26,1,travel_frequently,research & development,3,1,technical degree,3,male,3,1,research scientist,1,single,3102,0,no,22,4,3,0,7,2,3,6,4,0,4,2,0,0,0,2,0.8166771116847921
383,22,0,travel_rarely,research & development,11,3,medical,1,female,3,1,research scientist,2,married,2244,1,no,13,3,4,1,2,1,3,2,1,1,2,1,0,0,0,0,0.8199317149044134
384,36,0,travel_rarely,sales,2,2,medical,2,male,2,3,sales executive,3,married,7596,1,no,13,3,2,2,10,2,3,10,9,9,0,4,0,0,0,0,0.8170061828656928
385,30,1,travel_frequently,research & development,4,3,technical degree,3,male,3,1,research scientist,4,single,2285,9,yes,23,4,3,0,3,4,3,1,0,0,0,1,0,1,0,3,0.14044602563982694
386,37,0,travel_rarely,research & development,14,3,life sciences,4,female,3,1,laboratory technician,1,divorced,3034,1,no,12,3,3,1,18,2,2,18,7,12,17,2,0,0,1,0,0.957476768537687
387,40,0,travel_rarely,sales,2,2,marketing,4,female,3,2,sales executive,2,divorced,5715,7,no,12,3,3,2,8,5,3,5,4,1,3,3,0,0,0,0,0.9973837874748847
389,37,0,travel_rarely,research & development,10,4,life sciences,3,male,3,2,manufacturing director,2,single,4197,2,yes,12,3,4,0,18,2,2,1,0,0,1,2,0,1,0,2,0.8098789809538139
391,40,0,travel_rarely,research & development,2,3,medical,2,female,2,2,laboratory technician,3,married,3448,6,no,22,4,2,1,20,3,3,1,0,0,0,2,0,1,1,0,0.9734451029381185
393,34,0,non-travel,sales,4,4,marketing,3,female,3,2,sales executive,3,married,6538,9,no,15,3,1,1,6,3,3,3,2,1,2,4,0,0,0,1,0.8428171283701779
394,31,0,travel_rarely,research & development,7,2,medical,2,female,3,2,manufacturing director,1,married,4306,1,no,12,3,2,1,13,5,1,13,10,3,12,3,0,0,0,0,0.9957397391265725
397,25,0,travel_rarely,sales,4,2,life sciences,2,female,2,2,sales executive,4,single,4487,1,yes,11,3,2,0,5,3,3,5,4,1,3,3,0,0,0,2,0.11991347146140724
398,37,0,non-travel,research & development,25,5,medical,2,female,3,2,research scientist,3,married,4449,3,yes,15,3,1,2,15,2,3,13,11,10,7,3,0,0,0,2,0.7151231839819135
399,31,0,travel_rarely,research & development,1,2,life sciences,4,male,2,1,laboratory technician,1,married,2218,1,no,12,3,3,1,4,3,3,4,2,3,2,1,0,0,1,0,0.7404636011985081
400,39,0,travel_frequently,research & development,1,1,life sciences,2,male,3,5,manager,3,divorced,19197,1,yes,14,3,3,1,21,3,3,21,8,1,6,5,0,0,0,2,0.9785770345607009
402,30,0,travel_rarely,sales,12,3,technical degree,2,female,3,2,sales executive,3,single,6577,0,no,11,3,2,0,6,6,3,5,4,4,4,4,0,0,0,1,0.8667349607010079
403,41,0,travel_rarely,sales,1,3,marketing,2,male,4,3,sales executive,1,married,8392,1,no,16,3,3,1,10,2,3,10,7,0,7,4,0,0,0,0,0.9954403525754184
404,28,0,travel_rarely,research & development,17,2,medical,3,male,3,2,laboratory technician,1,divorced,4558,1,no,12,3,4,1,10,2,3,10,0,1,8,3,0,0,1,0,0.9865208542742551
405,25,1,travel_rarely,research & development,3,3,medical,1,male,3,1,laboratory technician,1,married,4031,5,no,13,3,3,1,6,5,3,2,2,0,2,2,0,0,1,0,0.6762458036553631
410,30,0,travel_rarely,research & development,2,3,life sciences,3,female,1,2,manufacturing director,4,single,6091,2,no,20,4,3,0,11,2,3,5,4,0,2,4,0,0,0,1,0.9832101858564902
414,24,1,travel_rarely,sales,1,1,technical degree,1,female,3,1,sales representative,2,single,3202,1,yes,16,3,2,0,6,4,3,5,3,1,4,2,0,0,1,2,0.07477404977285082
415,34,1,travel_frequently,sales,6,2,marketing,4,female,1,1,sales representative,3,divorced,2351,0,no,16,3,4,1,3,3,2,2,2,1,0,1,0,0,1,1,0.8314163691891334
416,38,0,travel_frequently,research & development,2,2,life sciences,4,male,3,1,laboratory technician,4,married,1702,1,yes,23,4,3,1,1,3,3,1,0,0,0,1,1,1,1,2,0.8491637421540813
417,40,0,travel_rarely,sales,2,4,life sciences,3,female,3,5,manager,3,married,18041,0,no,14,3,4,0,21,2,3,20,15,1,12,5,0,0,0,0,0.9998041964756672
418,26,0,travel_rarely,research & development,23,3,life sciences,1,female,3,1,research scientist,4,divorced,2886,1,no,22,4,2,2,3,3,1,3,2,0,2,2,0,0,0,0,0.9281798476534618
419,30,0,non-travel,research & development,3,3,life sciences,3,male,3,1,laboratory technician,4,married,2097,4,no,15,3,3,1,9,3,1,5,3,1,4,1,0,0,1,1,0.953676447771127
420,29,0,travel_rarely,research & development,3,4,medical,2,male,2,3,research director,3,married,11935,1,no,18,3,3,0,10,2,3,10,2,0,7,5,0,0,0,0,0.9635528050788892
